Locus,Allele,Symptomatic,Asymptomatic
HLA-A,01:01,0.1637,0.1507
HLA-A,01:02,0.0004,0.0000
HLA-A,02:01,0.2779,0.3088
HLA-A,02:02,0.0012,0.0037
HLA-A,02:05,0.0066,0.0221
HLA-A,02:06,0.0016,0.0074
HLA-A,02:17,0.0004,0.0000
HLA-A,02:22,0.0004,0.0000
HLA-A,02:27,0.0000,0.0037
HLA-A,03:01,0.1420,0.1066
HLA-A,03:02,0.0012,0.0074
HLA-A,11:01,0.0631,0.0735
HLA-A,11:05,0.0000,0.0037
HLA-A,11:12,0.0004,0.0000
HLA-A,23:01,0.0186,0.0110
HLA-A,24:02,0.0848,0.0699
HLA-A,24:03,0.0004,0.0037
HLA-A,25:01,0.0182,0.0184
HLA-A,25:02,0.0004,0.0000
HLA-A,26:01,0.0279,0.0147
HLA-A,26:08,0.0008,0.0000
HLA-A,29:01,0.0035,0.0000
HLA-A,29:02,0.0348,0.0441
HLA-A,29:10,0.0004,0.0000
HLA-A,29:30,0.0004,0.0000
HLA-A,30:01,0.0170,0.0147
HLA-A,30:02,0.0101,0.0037
HLA-A,30:04,0.0008,0.0037
HLA-A,31:01,0.0290,0.0184
HLA-A,32:01,0.0383,0.0257
HLA-A,32:04,0.0004,0.0000
HLA-A,33:01,0.0070,0.0147
HLA-A,33:03,0.0031,0.0000
HLA-A,33:05,0.0008,0.0000
HLA-A,34:02,0.0012,0.0000
HLA-A,66:01,0.0027,0.0074
HLA-A,68:01,0.0286,0.0441
HLA-A,68:02,0.0085,0.0110
HLA-A,68:03,0.0000,0.0037
HLA-A,69:01,0.0027,0.0037
HLA-A,74:01,0.0004,0.0000
HLA-A,74:03,0.0008,0.0000
HLA-B,07:02,0.1467,0.1177
HLA-B,07:04,0.0008,0.0000
HLA-B,07:05,0.0031,0.0000
HLA-B,08:01,0.1173,0.1029
HLA-B,13:02,0.0255,0.0441
HLA-B,14:01,0.0101,0.0147
HLA-B,14:02,0.0294,0.0294
HLA-B,15:01,0.0495,0.1103
HLA-B,15:07,0.0012,0.0037
HLA-B,15:09,0.0004,0.0000
HLA-B,15:16,0.0004,0.0000
HLA-B,15:17,0.0043,0.0000
HLA-B,15:18,0.0039,0.0000
HLA-B,15:39,0.0008,0.0000
HLA-B,15:71,0.0004,0.0000
HLA-B,18:01,0.0403,0.0441
HLA-B,18:40,0.0004,0.0000
HLA-B,27:02,0.0035,0.0000
HLA-B,27:05,0.0372,0.0257
HLA-B,35:01,0.0550,0.0552
HLA-B,35:02,0.0097,0.0110
HLA-B,35:03,0.0132,0.0221
HLA-B,35:08,0.0050,0.0110
HLA-B,35:41,0.0004,0.0000
HLA-B,37:01,0.0116,0.0147
HLA-B,38:01,0.0201,0.0074
HLA-B,38:09,0.0004,0.0000
HLA-B,39:01,0.0112,0.0037
HLA-B,39:05,0.0004,0.0037
HLA-B,39:06,0.0066,0.0037
HLA-B,39:31,0.0008,0.0000
HLA-B,40:01,0.0526,0.0515
HLA-B,40:02,0.0147,0.0147
HLA-B,41:01,0.0027,0.0074
HLA-B,41:02,0.0035,0.0074
HLA-B,42:01,0.0004,0.0000
HLA-B,44:02,0.1002,0.0699
HLA-B,44:03,0.0484,0.0478
HLA-B,44:04,0.0004,0.0037
HLA-B,44:05,0.0023,0.0037
HLA-B,44:55,0.0000,0.0037
HLA-B,45:01,0.0050,0.0074
HLA-B,47:01,0.0016,0.0037
HLA-B,48:01,0.0004,0.0000
HLA-B,49:01,0.0147,0.0147
HLA-B,50:01,0.0112,0.0184
HLA-B,50:02,0.0008,0.0000
HLA-B,51:01,0.0515,0.0404
HLA-B,51:05,0.0004,0.0000
HLA-B,51:07,0.0004,0.0000
HLA-B,51:08,0.0012,0.0000
HLA-B,51:09,0.0004,0.0000
HLA-B,51:43,0.0004,0.0000
HLA-B,52:01,0.0085,0.0110
HLA-B,53:01,0.0043,0.0074
HLA-B,55:01,0.0190,0.0294
HLA-B,56:01,0.0054,0.0037
HLA-B,56:04,0.0004,0.0000
HLA-B,57:01,0.0325,0.0184
HLA-B,57:02,0.0004,0.0000
HLA-B,57:03,0.0012,0.0037
HLA-B,58:01,0.0058,0.0037
HLA-B,58:02,0.0000,0.0037
HLA-B,78:01,0.0004,0.0000
